id,name,original_class,family_role,base_role,placement_medium,range,range_scope,damage,pierce,interval_seconds,description,stats_source_url,cost_source_url
ninja_monkey,Ninja Monkey,Magic,rapid_fire,basic_dps,400,40,local,1,2,0.62,"Throws shurikens and detects Camo without upgrades. Paths add many projectiles, Ninja support and sabotage, or anti-MOAB bombs.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/NinjaMonkey/NinjaMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
alchemist,Alchemist,Magic,support,status,550,45,local,1,15,2.0,"Throws acid potions with splash and damage over time. Paths add tower buffs, explosive and transformation attacks, or extra income and shrinking.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Alchemist/Alchemist.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
druid,Druid,Magic,splash,basic_dps,400,35,local,1,1,1.1,"Fires a spread of thorns. Paths add lightning and knockback, track vines and income, or attack bonuses that scale with combat conditions.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Druid/Druid.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
mermonkey,Mermonkey,Magic,status,splash,300,28,local,2,3,1.2,"Throws tridents with small splash attacks. Paths add an abyssal creature and support, cold attacks, or songs that redirect enemies.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
skywarden,Skywarden,Magic,sniper,basic_dps,205,48,local,1,4,1.55,"Fires piercing arrows and gains attack speed through successful hits. Paths add distance-based attacks, electrical interactions, or freezing and shattering.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Skywarden/Skywarden.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
banana_farm,Banana Farm,Support,economy,economy,1250,40,production_area,0,,,"Produces income instead of attacking. Paths favor collectible production, bank interest and cash abilities, or automatic cash collection.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BananaFarm/BananaFarm.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
spike_factory,Spike Factory,Support,summoner,summoner,1000,34,local_track_deployment,1,5,1.75,"Places spike piles on nearby track. Paths add explosive mines, anti-MOAB spike storms, or longer-lived defensive piles.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SpikeFactory/SpikeFactory.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
monkey_village,Monkey Village,Support,support,support,1200,40,local_support,0,,,"Buffs nearby towers' range without attacking at base. Paths add Primary support, detection and combat buffs, or discounts and income.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyVillage/MonkeyVillage.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
engineer_monkey,Engineer Monkey,Support,summoner,basic_dps,350,40,local,1,3,0.7,"Fires piercing nails. Paths add temporary sentries, cleansing and attack-speed support, or traps that capture enemies for cash.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/EngineerMonkey/EngineerMonkey.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
beast_handler,Beast Handler,Support,summoner,basic_dps,250,20,local,1,4,1.4,"Uses a short-range staff before commanding a beast. Its paths command aquatic predators, land dinosaurs, or birds that reposition enemies.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BeastHandler/BeastHandler.json,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json
