id,tower,code,path,tier,upgrade,medium_increment,medium_bare_path_total,cost_kind,historical_wiki_xp,role,effect,cost_source_url,effect_source_url,model_reference_url
dart_monkey_001,Dart Monkey,001,bottom,1,Long Range Darts,90,290,fixed_upgrade_price,50,basic_dps,Increases attack range.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-001.json
dart_monkey_002,Dart Monkey,002,bottom,2,Enhanced Eyesight,200,490,fixed_upgrade_price,450,basic_dps,Adds more range and Camo detection.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-002.json
dart_monkey_003,Dart Monkey,003,bottom,3,Crossbow,575,1065,fixed_upgrade_price,1900,sniper,Changes the weapon to a long-range crossbow with three damage per hit.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-003.json
dart_monkey_004,Dart Monkey,004,bottom,4,Sharp Shooter,2050,3115,fixed_upgrade_price,12000,sniper,Adds faster attacks and periodic critical hits.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-004.json
dart_monkey_005,Dart Monkey,005,bottom,5,Crossbow Master,21500,24615,fixed_upgrade_price,35000,sniper,Further improves firing speed and critical-hit damage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/DartMonkey/DartMonkey-005.json
boomerang_monkey_100,Boomerang Monkey,100,top,1,Improved Rangs,200,515,fixed_upgrade_price,,basic_dps,Raises the number of targets each throw can hit to eight.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-100.json
boomerang_monkey_200,Boomerang Monkey,200,top,2,Glaives,280,795,fixed_upgrade_price,,basic_dps,"Uses larger, faster projectiles with more pierce.",https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-200.json
boomerang_monkey_300,Boomerang Monkey,300,top,3,Glaive Ricochet,600,1395,fixed_upgrade_price,,splash,Glaives jump between nearby targets after a hit.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-300.json
boomerang_monkey_400,Boomerang Monkey,400,top,4,M.O.A.R Glaives,2000,3395,fixed_upgrade_price,,splash,Improves the attack rate and capacity of ricocheting glaives.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-400.json
boomerang_monkey_500,Boomerang Monkey,500,top,5,Glaive Lord,32500,35895,fixed_upgrade_price,,splash,Adds three orbiting glaives and a damaging effect on MOAB-class targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-500.json
boomerang_monkey_010,Boomerang Monkey,010,middle,1,Faster Throwing,175,490,fixed_upgrade_price,,basic_dps,Increases throwing speed.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-010.json
boomerang_monkey_020,Boomerang Monkey,020,middle,2,Faster Rangs,250,740,fixed_upgrade_price,,basic_dps,Improves attack speed and projectile speed.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-020.json
boomerang_monkey_030,Boomerang Monkey,030,middle,3,Bionic Boomerang,1250,1990,fixed_upgrade_price,,rapid_fire,Greatly increases firing speed and adds MOAB-class damage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-030.json
boomerang_monkey_040,Boomerang Monkey,040,middle,4,Turbo Charge,4200,6190,fixed_upgrade_price,,rapid_fire,Activates a temporary attack-speed boost.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-040.json
boomerang_monkey_050,Boomerang Monkey,050,middle,5,Perma Charge,35000,41190,fixed_upgrade_price,,rapid_fire,Provides sustained rapid attacks and an activated damage boost.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-050.json
boomerang_monkey_001,Boomerang Monkey,001,bottom,1,Long Range Rangs,100,415,fixed_upgrade_price,,basic_dps,Increases throwing range.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-001.json
boomerang_monkey_002,Boomerang Monkey,002,bottom,2,Red Hot Rangs,300,715,fixed_upgrade_price,,basic_dps,Adds damage and allows hits on Lead and Frozen targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-002.json
boomerang_monkey_003,Boomerang Monkey,003,bottom,3,Kylie Boomerang,1300,2015,fixed_upgrade_price,,splash,Uses straight-flying boomerangs instead of curved throws.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-003.json
boomerang_monkey_004,Boomerang Monkey,004,bottom,4,MOAB Press,2700,4715,fixed_upgrade_price,,slow,Special throws repeatedly hit and push back MOAB-class targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-004.json
boomerang_monkey_005,Boomerang Monkey,005,bottom,5,MOAB Domination,50000,54715,fixed_upgrade_price,,slow,Strengthens the damage and frequency of anti-MOAB knockback attacks.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BoomerangMonkey/BoomerangMonkey-005.json
bomb_shooter_100,Bomb Shooter,100,top,1,Bigger Bombs,250,625,fixed_upgrade_price,200,splash,Increases explosion radius and pierce.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-100.json
bomb_shooter_200,Bomb Shooter,200,top,2,Heavy Bombs,650,1275,fixed_upgrade_price,1000,splash,Raises explosion damage to two and increases pierce.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-200.json
bomb_shooter_300,Bomb Shooter,300,top,3,Really Big Bombs,1100,2375,fixed_upgrade_price,3000,splash,"Adds larger explosions, more damage, and knockback.",https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-300.json
bomb_shooter_400,Bomb Shooter,400,top,4,Bloon Impact,2800,5175,fixed_upgrade_price,10000,status,Explosions stun ordinary Bloons; range and fragments improve.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-400.json
bomb_shooter_500,Bomb Shooter,500,top,5,Bloon Crush,55000,60175,fixed_upgrade_price,37500,status,Adds high damage and the ability to stun MOAB-class targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-500.json
bomb_shooter_010,Bomb Shooter,010,middle,1,Faster Reload,250,625,fixed_upgrade_price,180,splash,Reduces reload time.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-010.json
bomb_shooter_020,Bomb Shooter,020,middle,2,Missile Launcher,400,1025,fixed_upgrade_price,650,splash,"Increases firing speed, projectile speed, and range.",https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-020.json
bomb_shooter_030,Bomb Shooter,030,middle,3,MOAB Mauler,1000,2025,fixed_upgrade_price,2700,tank_killer,Adds bonus damage against MOAB-class targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-030.json
bomb_shooter_040,Bomb Shooter,040,middle,4,MOAB Assassin,3450,5475,fixed_upgrade_price,10000,tank_killer,Adds a targeted anti-MOAB missile ability and improves normal attacks.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-040.json
bomb_shooter_050,Bomb Shooter,050,middle,5,MOAB Eliminator,26000,31475,fixed_upgrade_price,35000,tank_killer,Strengthens anti-MOAB damage and shortens the missile ability cooldown.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-050.json
bomb_shooter_001,Bomb Shooter,001,bottom,1,Extra Range,200,575,fixed_upgrade_price,150,splash,Increases attack range.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-001.json
bomb_shooter_002,Bomb Shooter,002,bottom,2,Frag Bombs,300,875,fixed_upgrade_price,600,splash,Bombs release damaging fragments.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-002.json
bomb_shooter_003,Bomb Shooter,003,bottom,3,Cluster Bombs,700,1575,fixed_upgrade_price,2500,splash,Replaces fragments with secondary explosions.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-003.json
bomb_shooter_004,Bomb Shooter,004,bottom,4,Recursive Cluster,2500,4075,fixed_upgrade_price,10000,splash,Every second attack adds another generation of cluster explosions.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-004.json
bomb_shooter_005,Bomb Shooter,005,bottom,5,Bomb Blitz,30000,34075,fixed_upgrade_price,25000,splash,Increases damage and adds an automatic emergency Bomb Storm when lives would be lost.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BombShooter/BombShooter-005.json
tack_shooter_100,Tack Shooter,100,top,1,Faster Shooting,150,410,fixed_upgrade_price,,splash,Reduces the interval between tack volleys.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-100.json
tack_shooter_200,Tack Shooter,200,top,2,Even Faster Shooting,220,630,fixed_upgrade_price,,splash,Further increases firing speed.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-200.json
tack_shooter_300,Tack Shooter,300,top,3,Hot Shots,600,1230,fixed_upgrade_price,,splash,Adds damage and Lead popping to the tacks.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-300.json
tack_shooter_400,Tack Shooter,400,top,4,Ring of Fire,3500,4730,fixed_upgrade_price,,splash,Replaces tack volleys with a circular fire attack.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-400.json
tack_shooter_500,Tack Shooter,500,top,5,Inferno Ring,45500,50230,fixed_upgrade_price,,splash,Upgrades the fire attack for stronger area damage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-500.json
tack_shooter_010,Tack Shooter,010,middle,1,Long Range Tacks,100,360,fixed_upgrade_price,,splash,Increases attack range and tack travel distance.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-010.json
tack_shooter_020,Tack Shooter,020,middle,2,Super Range Tacks,225,585,fixed_upgrade_price,,splash,Further increases range and pierce.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-020.json
tack_shooter_030,Tack Shooter,030,middle,3,Blade Shooter,550,1135,fixed_upgrade_price,,splash,Uses high-pierce blades that can damage Frozen targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-030.json
tack_shooter_040,Tack Shooter,040,middle,4,Blade Maelstrom,2700,3835,fixed_upgrade_price,,splash,Adds an activated radial blade barrage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-040.json
tack_shooter_050,Tack Shooter,050,middle,5,Super Maelstrom,15000,18835,fixed_upgrade_price,,splash,Strengthens the blade barrage and extends its duration.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-050.json
tack_shooter_001,Tack Shooter,001,bottom,1,More Tacks,150,410,fixed_upgrade_price,,splash,Raises the volley to ten tacks; also improves Ring of Fire damage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-001.json
tack_shooter_002,Tack Shooter,002,bottom,2,Even More Tacks,150,560,fixed_upgrade_price,,splash,Raises the volley to twelve tacks and further improves Ring of Fire damage.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-002.json
tack_shooter_003,Tack Shooter,003,bottom,3,Tack Sprayer,450,1010,fixed_upgrade_price,,rapid_fire,Fires sixteen higher-pierce tacks per volley.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-003.json
tack_shooter_004,Tack Shooter,004,bottom,4,Overdrive,3200,4210,fixed_upgrade_price,,rapid_fire,Greatly increases tack firing speed.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-004.json
tack_shooter_005,Tack Shooter,005,bottom,5,The Tack Zone,20000,24210,fixed_upgrade_price,,rapid_fire,Produces much denser tack volleys.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/TackShooter/TackShooter-005.json
ice_monkey_100,Ice Monkey,100,top,1,Permafrost,150,550,fixed_upgrade_price,160,status,Leaves targets slowed after their freeze ends.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-100.json
ice_monkey_200,Ice Monkey,200,top,2,Cold Snap,350,900,fixed_upgrade_price,500,status,Allows freezing and damaging Lead and Camo targets.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-200.json
ice_monkey_300,Ice Monkey,300,top,3,Ice Shards,1500,2400,fixed_upgrade_price,2500,status,Removes Camo and Regrow; destroyed frozen targets release damaging shards.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-300.json
ice_monkey_400,Ice Monkey,400,top,4,Embrittlement,2300,4700,fixed_upgrade_price,8250,status,Makes affected targets take extra damage and temporarily removes Lead immunity; can affect MOABs.,https://raw.githubusercontent.com/hemisemidemipresent/cyberquincy/master/jsons/costs.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/textTable.json,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/IceMonkey/IceMonkey-400.json
