tower,unlock_code,name,trigger,cooldown_seconds,effect,model_reference_url
Ninja Monkey,040,Bloon Sabotage,activated,,Temporarily slows eligible enemies across the map.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/NinjaMonkey/NinjaMonkey-040.json
Ninja Monkey,050,Grand Sabotage,activated,,Extends sabotage and reduces health of newly entering eligible MOAB-class targets.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/NinjaMonkey/NinjaMonkey-050.json
Alchemist,040,Transforming Tonic,activated,,Temporarily transforms the Alchemist into a rapid-attacking monster.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Alchemist/Alchemist-040.json
Alchemist,050,Total Transformation,activated,,Temporarily transforms eligible nearby towers into attacking monsters.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Alchemist/Alchemist-050.json
Druid,040,Vine Crush,activated,,"Targets multiple eligible enemies with crushing vines. This is the ability named in the retrieved export, not the older manual income ability.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Druid/Druid-040.json
Druid,050,Spirit of the Forest Vine Crush,activated,,Improves Vine Crush while permanent track vines continue attacking.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Druid/Druid-050.json
Mermonkey,040,Ice Jet,activated,,Releases bouncing ice projectiles.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey-040.json
Mermonkey,050,Popseidon Ice Jet,activated,,Upgrades the cold-projectile ability and its area effects.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey-050.json
Mermonkey,003,Alluring Melody,automatic_periodic,,Diverts eligible Bloons toward a song source and interacts with damage-over-time effects.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey-003.json
Mermonkey,004,Song position,targeting_control,,Sets the lure position within its permitted placement area.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey-004.json
Mermonkey,005,Global song position,targeting_control,,Extends the permitted lure position across the map.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Mermonkey/Mermonkey-005.json
Skywarden,200,Long-range stance,mode_switch,,"Switches to slower, more accurate long-range firing.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Skywarden/Skywarden-200.json
Skywarden,040,Thunder Charge,activated_support,45,"Temporarily improves nearby towers' projectile behavior, with ricochet and Frozen-popping benefits.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Skywarden/Skywarden-040.json
Skywarden,050,"Thunder Charge, conduit links",activated_support,,Also links electrical conduits with lightning.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/Skywarden/Skywarden-050.json
Banana Farm,030,Bank collection,manual_collection,,Withdraws stored bank cash. This is a collection control rather than a cooldown ability.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BananaFarm/BananaFarm-030.json
Banana Farm,040,IMF Loan,activated_economy,,Provides a cash loan that later income must repay.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BananaFarm/BananaFarm-040.json
Banana Farm,050,Monkey-Nomics,activated_economy,,Provides cash without loan debt.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BananaFarm/BananaFarm-050.json
Spike Factory,040,Spike Storm,activated,,Spreads spike piles across the track.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SpikeFactory/SpikeFactory-040.json
Spike Factory,050,Carpet of Spikes,automatic_periodic,,Periodically spreads spikes across the track; an activated spike spread remains available.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/SpikeFactory/SpikeFactory-050.json
Monkey Village,040,Call to Arms,activated_support,,Temporarily increases affected towers' attack speed and pierce.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyVillage/MonkeyVillage-040.json
Monkey Village,050,Homeland Defense,activated_support,,Applies the stronger attack-speed and pierce buff across the map.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/MonkeyVillage/MonkeyVillage-050.json
Engineer Monkey,040,Overclock,activated_targeted_support,,Temporarily boosts a selected eligible tower's attack speed or compatible production behavior.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/EngineerMonkey/EngineerMonkey-040.json
Engineer Monkey,050,Ultraboost,activated_targeted_support,,Adds a permanent stacking improvement as well as the temporary boost.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/EngineerMonkey/EngineerMonkey-050.json
Engineer Monkey,004,Collect Bloon Trap,manual_collection,,Collects cash from a full trap so that another can be placed.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/EngineerMonkey/EngineerMonkey-004.json
Engineer Monkey,005,Collect XXXL Trap,manual_collection,,Collects a full large trap that can capture eligible MOAB-class targets.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/EngineerMonkey/EngineerMonkey-005.json
Beast Handler,040,T-Rex Stomp,activated,,The dinosaur produces a damaging stun stomp.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BeastHandler/BeastHandler-040.json
Beast Handler,050,Giganotosaurus Stomp,activated,,"Upgrades the stomp to stronger, wider control.",https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BeastHandler/BeastHandler-050.json
Beast Handler,100,Beast merge,management_control,,Assigns compatible handlers to support one beast and increase its Beast Power; available for all three beast paths.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BeastHandler/BeastHandler-100.json
Beast Handler,001,Beast position,targeting_control,,Sets a permitted beast position; the valid region depends on the beast type.,https://raw.githubusercontent.com/Btd6ModHelper/btd6-game-data/main/Towers/BeastHandler/BeastHandler-001.json
